lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
6	A clinical document is attached		Adjunto está un documento clínico.	Adjunto está un documento clínico.	Ein klinisches Dokument befindet sich im Anhang.	Klinisch document is bijgevoegd	מצורף מסמך קליני	Un document clinique a été attaché	Un document clinique se trouve en attachement				Клинический документ прикреплен	Կցված է բժշկական/կլինիկական փաստաթուղթ		Dokumen klinis sudah dilampirkan	Προσετέθη ένα κλινικό έγγραφο.		Está anexado um documento clínico	Um documento clínico está anexado.	Está anexado um documento clínico	تم إرفاق وثيقة طبية	Et klinisk dokument er vedhæftet.	Bir klinik belge ekli	Dokument kliniczny w załączeniu.		Un documento clinico è allegato		Un document clinic este atasat.	Một tài liệu lâm sàng được đính kèm		Dokumenti i klinikës është bashkangjitur	Je připojen klinický dokument	Клінічний документ додається	ক্লিনিকাল তথ্য লাগানো		یک سند بالینی پیوست شده است	Klinikinis dokumentas pridėtas.		医療文書が添付されます。	Kliininen asiakirja on liitteenä		კლინიკური დოკუმენტი მიმაგრებულია				एक क्लिनिकल दस्तऐवज संलग्न आहे	Waxaa ku lifaaqan waraaqaha rugta caafimaadka	Эмнэлзүйн баримт бичиг хавсаргагдсан байна	ஒரு மருத்துவ ஆவணம் இணைக்கப்பட்டுள்ளது		เอกสารการรักษาตามแนบ	Isang klinikal na dokumento ang naka attach						dummy
7	A clinical document is attached.	Ett klinikdokument är bifogat	Adjunto está un documento clínico.	Adjunto está un documento clínico.	Ein klinisches Dokument befindet sich im Anhang.	Klinisch document is bijgevoegd.	מצורף מסמך קליני.	Un document clinique a été attaché	Un document clinique est attaché.				Клинический документ прикреплен.	Բժշկական/կլինիկական փաստաթուղթ է կցված		Dokumen klinis sudah dilampirkan.	Προσετέθη ένα κλινικό έγγραφο.		Está anexado um documento clínico.	Um documento clínico está anexado.	Está anexado um documento clínico.	تم إرفاق وثيقة طبية.	Et klinisk dokument er vedhæftet.	Bir klinik belge ekli	Dokument kliniczny w załączeniu.		Un documento clinico è allegato.	एक नैदानिक ​​दस्तावेज संलग्न है	Un document clinic este atasat	Một tài liệu lâm sàng được đính kèm.		Dokumenti i klinikës është bashkangjitur.	Je připojen klinický dokument	Клінічний документ додається.	ক্লিনিকাল তথ্য লাগানো		یک سند بالینی پیوست شده است.	Klinikinis dokumentas pridėtas.		医療文書が添付されます。	Kliininen asiakirja on liitteenä.		კლინიკური დოკუმენტი მიმაგრებულია.				एक क्लिनिकल दस्तऐवज संलग्न आहे.	Waxaa ku lifaaqan waraaqaha rugta caafimaadka.	Эмнэлзүйн баримт бичиг хавсаргагдсан байна	ஒரு மருத்துவ ஆவணம் இணைக்கப்பட்டுள்ளது		เอกสารการรักษาตามแนบ	Ang isang klinikal na dokumento ay naka-attach.						dummy
8	A code of this type is already selected. Erase the field first if you need to replace it.		Un código de este tipo ya ha sido seleccionado. Elimínelo del campo si necesita reemplazarlo.	Un código del mismo tipo ya fue seleccionado. Elíminelo del campo para poder reemplazarlo.	Ein Code dieses Typs ist bereits ausgewählt. Löschen Sie zuerst das Feld, wenn Sie es ersetzen müssen.	Een code van dit type is al gekozen. Verwijder eerst het veld, als je deze wilt vervangen.	קוד מסוג זה כבר נבחר. מחק תחילה את השדה אם ברצונך להחליף אותו.	un code pour ce type a déja été selectionné. Veuillez supprimer le contenu du champ en premier afin de le remplacer.	Un code semblable est déjà sélectionné.  Veuillez supprimer le contenu champ en premier afin de la remplacer.				Код данного типа уже выбран. Очистите поле, чтобы заменить.	Նմանատիպ կոդ արդեն ընտրված է․ նախ մաքրեք դաշտը, եթե ցանկանում եք տեղափոխել այն		Kode dari tipe ini sudah dipilih. Silahkan hapus terlebih dahulu isian yang anda masukan untuk mengganti pilihan	Ένας κωδικός αυτού του τύπου έχει ήδη επιλεγεί. Σβήστε το πεδίο πρώτα, αν πρέπει να το αντικαταστήσετε.		Já está selecionado um código deste tipo. Se precisa de o substituir primeiro apague o campo	Um código deste tipo já foi selecionado. Se você precisar de substituí-lo, primeiro apague o campo	Já está selecionado um código deste tipo. Se precisa de o substituir primeiro apague o campo	تم تحديد رمز من هذا النوع بالفعل. امسح الحقل أولاً إذا كنت بحاجة إلى استبداله.		Bu tipte bir kod önceden seçildi. Değiştirmeniz gerekiyorsa öncekini silin.	Kod tego typu jest już wybrany. Najpierw usuń pole, jeśli chcesz je zastąpić.				Un cod al acestui tip este deja selectat. Stergeti campul daca doriti sa-l inlocuiti.	Đã chọn một mã cho kiểu này. Hãy xóa trường này trước nếu bạn cần thay thế nó.		Nje shifer e ketij lloji eshte zgjedhur. Fshije fushen se pari nese duhet ta ndryshoni.		Код цього типу вже обраний. Спочатку зітріть поле, якщо вам потрібно його замінити.	এইরূপ কোড চয়ন করা আছে। যদি পাল্টাতে চান, ফিল্ড তা মুছে দিন।		قبلا یک کد از این نوع انتخاب شده است. برای جایگزینی آن ، ابتدا فیلد را پاک کنید			このタイプのコードが既に選択されています。あなたはそれを交換する必要がある場合は、最初のフィールドを消去します。			კოდი უკვე მონიშნულია. წაშალეთ ეს ველი, თუ შეცვლა გსურთ.						Энэ төрлийн кодыг сонгосон байна. Хэрэв үүнийг солих бол эхлээд талбарыг устгана.	இந்த வகை குறியீடு ஏற்கனவே தேர்ந்தெடுக்கப்பட்டுள்ளது. ௮தனை மாற்ற முதலில் ௮தனை அழிக்கவும்.		รหัสนี้ได้ถูกเลือกใช้แล้ว กรุณาลบข้อมูลเดิมเพื่อเปลี่ยนแปลง	Ang isang code ng ganitong uri ay napili na. Burahin muna ang field kung kailangan mo itong palitan.						dummy
9	A dated reminder message can be either forwarded by clicking the Forward button or removed from the dated reminders list by clicking on the Set As Completed button				Eine datierte Erinnerungsnachricht kann entweder durch Klicken auf die Schaltfläche Weiterleiten weitergeleitet oder durch Klicken auf die Schaltfläche Als erledigt festlegen aus der Liste der datierten Erinnerungen entfernt werden									Հիշեցման հաղորդագրությունը կարող է փոխանցվել` սեղմելով Փոխանցել կոճակը կամ հանվել թվագրված հիշեցումների ցուցակից` սեղմելով Սահմանել որպես ավարտված կոճակին:					Uma mensagem de lembrete com data pode ser encaminhada clicando no botão Encaminhar ou removida da lista de lembretes com data clicando no botão Definir como concluída	Uma mensagem de lembrete datada pode ser encaminhada clicando no botão Encaminhar ou removida da lista de lembretes datados clicando no botão Definir como Concluído	Uma mensagem de lembrete com data pode ser encaminhada clicando no botão Encaminhar ou removida da lista de lembretes com data clicando no botão Definir como concluída	يمكن إعادة توجيه رسالة تذكير مؤرخة بالنقر فوق الزر \"إعادة توجيه\" أو إزالتها من قائمة التذكيرات المؤرخة بالنقر فوق الزر \"تعيين كمنتهى\"							Un mesaj de memento datat poate fi fie redirecționat făcând clic pe butonul Redirecționare, fie eliminat din lista de memento-uri datate făcând clic pe butonul Setare ca finalizat	Một thông điệp nhắc nhở theo ngày có thể được chuyển tiếp bằng cách bấm vào nút Chuyển tiếp hoặc được bỏ khỏi danh sách nhắc nhở theo ngày bằng cách bấm vào nút Đánh dấu Đã Hoàn thành				@ Прибув			یک پیام یادآوری تاریخ دار می تواند با کلیک کردن روی دکمه \"هدایت پیام\"به جا ی دیگری ارسال شود یا با کلیک بر روی دکمه \"تنظیم به عنوان تکمیل شده\" از لیست یادآوری های تاریخ دار حذف شود												Огноотой сануулах мессежийг \"Дамжуулах\" товчлуур дээр даран илгээгдэх эсвэл \"Дуусгах\" гэсэн товчин дээр даран сануулагчийн жагсаалтаас хасах боломжтой.										dummy
10	A dedicated security key needs to be purchased		Necesita adquirir una clave de seguridad privada		Es muss ein dedizierter Sicherheitsschlüssel erworben werden									Անհրաժեշտ է գնել անվտանգության հատուկ բանալի			Απαιτείται αγορά εξειδικευμένου κλειδιού ασφαλείας		Uma chave de segurança dedicada precisa ser adquirida	Uma chave de segurança dedicada precisa ser comprada	Uma chave de segurança dedicada precisa ser adquirida	يلزم شراء مفتاح أمان مخصص							Trebuie achiziționată o cheie de securitate dedicată	Cần phải mua một khóa bảo mật dành riêng				Необхідно придбати спеціальний ключ безпеки			باید یک کلید امنیتی اختصاصی خریداری شود												Тусгай зориулалтын аюулгүй байдлын түлхүүр худалдан авах шаардлагатай										dummy
11	A default code is optional as the needed code can be entered at the time of placing the actual order		Un código por defecto es opcional, ya que el código necesario puede ser introducido en el momento de crear la orden		Ein Standardcode ist optional, da der erforderliche Code zum Zeitpunkt der Bestellung eingegeben werden kann									Լռելյայն ծածկագիրը պարտադիր չէ, քանի որ անհրաժեշտ կոդը կարող է մուտքագրվել իրական պատվերը դնելու պահին					Um código padrão é opcional, pois o código necessário pode ser inserido no momento de fazer o pedido real	Um código padrão é opcional, pois o código necessário pode ser inserido no momento da colocação da ordem actual	Um código padrão é opcional, pois o código necessário pode ser inserido no momento de fazer o pedido real	يعد الرمز الافتراضي اختياريًا حيث يمكن إدخال الرمز المطلوب في وقت تقديم الطلب الفعلي							Un cod implicit este opțional, deoarece codul necesar poate fi introdus în momentul plasării comenzii efective	Mã mặc định là tùy chọn do có thể nhập mã cần thiết vào thời điểm đặt hàng thực tế 				Код за замовчуванням є необов\'язковим, так як необхідний код може бути введений в момент розміщення фактичного замовлення			کد پیش فرض اختیاری است زیرا کد مورد نیاز می تواند در زمان ثبت سفارش واقعی وارد شود												Бодит кодыг байршуулах нь заавал байх ёстой бөгөөд учир нь бодит захиалгыг байрлуулах үед шаардлагатай кодыг оруулах боломжтой болно										dummy
12	A detailed guide on how to enable and setup a Clinical Decision rule is found here		Aquí puede encontrar una guía detallada acerca de cómo activar y establecer una regla de Decisión Clínica		Eine ausführliche Anleitung zum Aktivieren und Einrichten einer klinischen Entscheidungsregel finden Sie hier		מדריך מפורט בנוגע לאיך לאפשר ולהגדיר כלל החלטה קליני ניתן למצוא כאן							Մանրամասն ուղեցույցը, թե ինչպես միացնել և կարգավորել Կլինիկական որոշման կանոնը, կարող եք գտնել այստեղ					Um guia detalhado sobre como habilitar e configurar uma regra de decisão clínica pode ser encontrado aqui	Um guia detalhado sobre como habilitar e configurar uma regra de Decisão Clínica é encontrado aqui	Um guia detalhado sobre como habilitar e configurar uma regra de decisão clínica pode ser encontrado aqui	يوجد دليل مفصل حول كيفية تمكين وإعداد قاعدة القرار السريرية هنا							Un ghid detaliat despre cum să activați și să configurați o regulă de decizie clinică este găsit aici	Có thể tìm ở đây hướng dẫn chi tiết cách kích hoạt và thiết lập Quy tắc Quyết định Lâm sàng				Докладний посібник щодо включення та налаштування клінічного правила прийняття рішень можна знайти тут			یک راهنمای دقیق در مورد چگونگی فعال کردن و تنظیم قانون تصمیم بالینی در اینجا یافت می شود												Эмнэлзүйн шийдвэрийн дүрмийг хэрхэн идэвхжүүлэх, тохируулах талаархи дэлгэрэнгүй зааврыг эндээс олж болно										dummy
13	A distributor is required	En distributör behövs	Se requiere un distribuidor	Se requiere un distribuidor	Ein Verteiler ist notwendig	Hiervoor is een distributeur nodig	נדרש מפיץ	Un distributeur est requis	Un distributeur est requis		需要一个分销商	需要一個經銷商	Специалист(распределитель) является обязательным	Պահանջվում է / անհրաժեշտ է ներկայացուցիչ		Dibutuhkan distributor	Απαιτείται ένας αντιπρόσωπος		É necessário um distribuidor	Um distribuidor é necessário	É necessário um distribuidor	مطلوب موزع	En distributør skal anføres	Bir bayi gerekiyor	Wymagany jest dystybutor		E\' richiesto un distributore	एक वितरक की आवश्यकता है	Este necesar un distributor	Phải có nhà phân phối	van szukseg egy eloszto	Nevojitet nje distributor	Distributor je vyžadován	Потрібен дистриб\'ютор	Distributor প্রয়োজন	Edasimüüja on vajalik	توزیع کننده ای مورد نیاز است	Platintojas privalomas		ディストリビューターが必要です。	Jakelija tarvitaan		დისტრიბუტორი აუცილებელია				एक वितरक आवश्यक आहे	Waxaa loo baahanyahay qeybiye.	Албан ёсны харилцагч шаардлагатай	ஒரு விநியோகி தேவை		กรุณากรอกชื่อตัวแทน	Kinakailangan ang isang distributor						dummy
14	A due date can be specified or a specific time period can be chosen for the dated reminder to to show up				Es kann ein Fälligkeitsdatum angegeben oder ein bestimmter Zeitraum ausgewählt werden, in dem die datierte Erinnerung angezeigt werden soll														Uma data de vencimento pode ser especificada ou um período de tempo específico pode ser escolhido para que o lembrete com data apareça	Uma data de vencimento pode ser especificada ou um período de tempo específico pode ser escolhido para o lembrete datado para aparecer	Uma data de vencimento pode ser especificada ou um período de tempo específico pode ser escolhido para que o lembrete com data apareça	يمكن تحديد تاريخ استحقاق أو يمكن اختيار فترة زمنية محددة حتى يظهر التذكير المؤرخ							Poate fi specificată o dată limită sau poate fi aleasă o anumită perioadă de timp pentru ca mementoul datat să apară	Có thể chỉ định một ngày cuối hoặc chọn khoảng thời gian cụ thể để hiện nhắc nhở theo ngày 				Можна вказати дату виконання або вибрати конкретний період часу для відображення нагадування про дату			می توان یک تاریخ سررسید مشخص کرد یا یک دوره زمانی خاص را برای نشان دادن یادآور تاریخ دار انتخاب کرد												Хугацаанд сануулахаар товлосон хугацааг зааж өгөх эсвэл тодорхой хугацааг сонгож болно										dummy
15	A few words to indicate the reason for the visit		Unas palabras para indicar el motivo de la visita	Unas palabras para indicar el motivo de la visita	Ein paar Worte, um den Grund für den Besuch anzugeben		כמה מילים להצביע על הסיבה לביקור										Λίγα λόγια για την αιτία προσέλευσης		Algumas palavras para indicar o motivo da visita	Algumas palavras para indicar o motivo da visita	Algumas palavras para indicar o motivo da visita	بضع كلمات للإشارة إلى سبب الزيارة							Câteva cuvinte pentru a indica motivul vizitei	Một vài từ để chỉ ra lý do lần đến khám				Кілька слів, щоб позначити причину візиту			چند کلمه برای نشان دادن دلیل بازدید												Айлчлалын шалтгааныг тодруулах хэдэн үгс										dummy
16	A followup appointment can also be scheduled right from the fee sheet.		También se puede programar una cita de seguimiento directamente desde la hoja de honorarios.		Ein Folgetermin kann auch direkt über das Gebührenblatt vereinbart werden.		ניתן לקבוע פגישת מעקב גם ישירות מגליון התשלומים.										Ένα ραντεβού παρακολούθησης μπορεί επίσης να προγραμματιστεί μέσω του χρεωστικού δελτίου		Um compromisso de acompanhamento também pode ser agendado diretamente na folha de taxas.	A followup appointment can also be scheduled right from the fee sheet	Um compromisso de acompanhamento também pode ser agendado diretamente na folha de taxas.	يمكن أيضًا تحديد موعد للمتابعة مباشرةً من ورقة المصاريف.							O întâlnire ulterioară poate fi, de asemenea, programată chiar din foaia de taxe.	Có thể lên kế hoạch cho một cuộc hẹn tiếp theo ngay tại bảng tính phí.				Подальша зустріч також може бути запланована прямо з гонорарного листа.			قرار ملاقات بعدی از طریق برگه هزینه نیز می تواند تعیین شود.												Дараагийн уулзалтыг төлбөр авах хуудаснаас шууд товлох боломжтой.										dummy
17	A GCAC visit form should be added to this visit.	Ett GCAC besöksformulär ska läggas till för detta besök	Formulario de visita GCAC debe ser agregado a esta visita	Formulario de visita GCAC debe ser agregado a esta visita	Ein GCAC Konsultationsformular sollte angefügt werden	Een CGAC visite formulier hoort bij dit bezoek.		Un formulaire de visite GCAC doit être ajouté à cette visite	Un formulaire de visite GCAC doit être ajouté à cette visite		本次门诊应添加一个GCAC门诊表格	一個GCAC參訪表格應該增加到這次的參訪	Для этого посещения необходимо добавить форму GCAC.	Այս այցի շրջանակներում պետք է ավելացնել GCAC մուտքի ձև		Formulir kunjungan CGAC harus ditambahkan pada kunjungan ini	Μια φόρμα επίσκεψης GCAC πρέπει να προστεθεί σε αυτήν την επίσκεψη.		Um formulário GCAC deve ser acrescentado a esta visita	Um formulário GCAC deve ser acrescentado a esta visita.	Um formulário GCAC deve ser acrescentado a esta visita	ينبغي اضافة استمارة الزيارة لهذه الزيارة		Bu kayda Jenerik Bağlantı Kabul Kontrol  vizit formunun eklenmesi gerekiyor.	Formularz GCAC powinien być dodany do tej wizyty		Si dovrebbe aggiungere un modulo GCAC a questa visita.	एक GCAC visit फार्म इस visit के लिए जोड़ा जाना चाहिए.	Un formular GCAC trebuie adaugat la aceasta vizita.	Phải thêm vào lần đến khám này một biểu mẫu đến khám GCAC.		Nje formular konsulte tek GCAC duhet shtuar tek kjo vizite	K návštěvě musí být připojen GCAC formulář	До цього візиту слід додати форму відвідування GCAC.	GCAC ভিসিট ফর্ম এই ভিসিটে যোগ করতে হবে।	Selle visiidi jaoks peaks lisama GCAC vormi	یک فرم ملاقات GCAC باید به این ملاقات اضافه شود.	Prie šio vizito reikalinga pridėti GCAC formą		GCAC訪問フォームは今回の訪問で追加されました	GCAC vierailu lomake lisätään tämän vierailun.						एक GCAC भेट फॉर्म भेट जोडले पाहिजे.	Qaabeysanaha kulanka ee GCAC waa in lagu daraa la kulankan.	Энэхүү үзлэгт GCAC-ийн үзлэгийн маягтыг нэмж оруулах ёстой.			กรุณาเพิ่มแบบฟอร์ม GCAC สำหรับการเข้ารับการรักษาครั้งนี้	Ang isang pormularyo ng pagbisita ng GCAC ay dapat idagdag sa pagbisita na ito.						dummy
